史料名,項目番号,題,差出(著述者)・報告者,人物像,人物像２,年,月,日,記述場所,記述番号,記述内容,年,月,日,時刻,記述の性質,被害種別,被害場所,緯度,経度,備考,震度
『宝暦現来集』 巻之十九,1,(前書),山田桂翁,幕臣,武家,1830,×,×,江戸駒込？,1,文政十三庚寅年七月二日より、京都大地震之儀、往古より京都は度々有之ける、既に類例はすゑにしるし置、此度程の事老父も聞及ぱず、其上折悪敷両日共大雨故、震損所も多かりし、家土蔵に至る迄、追々大破とはなりぬ、何さま捨置がたく、扨々歎ヶ敷事なりと沙汰申ける、其上彼大雨にて出水、又は山崩れ川流れ、水死怪我人等も夥多なれば、中々眼も当られぬ事共なり、先々御当地は何事もなく有がたき事なり、,1830,7,2,,言説,全般,×,×,×,×,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,1,一、文政十三年七月二日より、京都大地震に付、七月十七日、御目付代間部主殿頭、木下佐兵衛より御届け左之通、二条御城御破損所、,1830,,,,言説,情報,二条城,35.014325,135.74765,天明大火(1788)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,2,一、四方外側太鼓御櫓、其外所々倒損掛候内、北之外側北御門西之方、御塀石垣共御堀え崩込、西外側西御門南所御塀倒、御堀え木道具落込、石垣の内所に孕出、四方御土居武者走りの内、所々地形割損じ申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1789)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,3,一、北御門屋根下通り共所々損じ、二階御櫓東面庇し落損じ、御門台石垣西の方崩掛り、危く相成申候、腰塀石垣共損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1790)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,4,一、北御門番所廻り附物共、屋根廻り高塀所々損じ、西の方登り塀倒損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1791)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,5,一、北二の御門傾き損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1792)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,6,一、東音頭小屋玄関廻り潰、小書院床の問壁落損、台所廻り大破損、其外屋根地廻共所々損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1793)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,7,一、同長屋向与力同心小屋共所々損じ、并高塀竹垣共倒損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1794)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,8,一、東御番衆小屋四十九軒の内、三番小屋上の問潰、下陳大破、十三番二十七番小屋中の問潰損じ、其外小屋々々屋根下廻り共大破、同構之高塀竹垣共、所々倒損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1795)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,9,一、二の丸入口御門屋根廻り損じ、同内与力番所、向附物等損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1796)で城の北半分の建物は焼失しその後再建,
